                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.1189,                0.76142,                 1.5562,                0.74207,                0.98859,                0.75654,                0.52434,                 1.1036,                0.57157,                 1.4864,              0.0010307,              0.0010307,              0.0010307
                     76,                 1.1264,                 0.7257,                 1.5594,                 0.7444,                0.99317,                0.75447,                  0.517,                 1.1724,                0.57906,                 1.5333,              0.0010296,              0.0010296,              0.0010296
                     77,                 1.1233,                0.74085,                 1.5718,                0.74225,                0.99553,                0.75775,                0.51605,                 1.1252,                0.57294,                 1.4911,              0.0010285,              0.0010285,              0.0010285
                     78,                  1.151,                0.76262,                 1.5919,                0.74589,                0.99252,                0.98365,                0.65391,                 1.1417,                0.55876,                 1.5182,              0.0010274,              0.0010274,              0.0010274
                     79,                 1.1432,                0.72921,                 1.5783,                0.74461,                0.98874,                0.75581,                0.51698,                 1.1311,                0.55557,                 1.5242,              0.0010263,              0.0010263,              0.0010263
                     80,                 1.1289,                0.72605,                 1.5604,                0.75122,                0.99332,                0.76471,                0.52018,                 1.1116,                0.56467,                 1.4933,              0.0010252,              0.0010252,              0.0010252
                     81,                 1.1407,                0.75734,                 1.5672,                0.72457,                0.95027,                0.76334,                0.52234,                 1.1152,                0.76998,                 1.5013,              0.0010241,              0.0010241,              0.0010241
                     82,                 1.1417,                0.74741,                 1.5564,                0.74838,                0.99395,                0.78612,                0.55662,                 1.0749,                 0.5419,                 1.4431,               0.001023,               0.001023,               0.001023
                     83,                 1.1196,                0.72583,                 1.5554,                0.74731,                0.98901,                  0.755,                0.52504,                 1.1073,                0.55934,                 1.4807,              0.0010219,              0.0010219,              0.0010219
                     84,                 1.1504,                0.74025,                 1.5774,                0.72563,                0.94902,                0.97444,                0.67908,                 1.1856,                0.73739,                 1.6153,              0.0010208,              0.0010208,              0.0010208
                     85,                  1.106,                0.73413,                  1.543,                 0.7478,                0.99159,                0.75493,                0.53124,                  1.094,                0.54776,                 1.4513,              0.0010197,              0.0010197,              0.0010197
                     86,                 1.0787,                 0.7247,                 1.5145,                 0.7282,                0.95003,                0.75288,                0.52856,                  1.062,                0.58737,                 1.4528,              0.0010186,              0.0010186,              0.0010186
                     87,                 1.0941,                0.72317,                 1.5394,                0.73082,                0.95485,                0.76138,                0.51323,                 1.1316,                0.71307,                 1.5279,              0.0010175,              0.0010175,              0.0010175
                     88,                 1.1113,                0.72059,                 1.5501,                0.75171,                0.98935,                0.75213,                0.53549,                  1.062,                0.52097,                 1.4498,              0.0010164,              0.0010164,              0.0010164
                     89,                 1.1049,                0.71935,                 1.5392,                0.75076,                0.99387,                0.75276,                0.53609,                 1.0627,                0.54136,                 1.4474,              0.0010153,              0.0010153,              0.0010153
                     90,                 1.0942,                0.68984,                 1.5336,                0.72062,                0.93698,                0.75477,                0.54098,                 1.0752,                0.53883,                 1.4399,              0.0010142,              0.0010142,              0.0010142
                     91,                 1.0928,                0.69122,                 1.5155,                0.73361,                0.98393,                0.75551,                0.54034,                 1.0648,                0.54421,                 1.4345,              0.0010131,              0.0010131,              0.0010131
                     92,                 1.1114,                0.70123,                 1.5438,                 0.7489,                0.99229,                0.85782,                0.61301,                 1.1112,                0.54298,                 1.4766,               0.001012,               0.001012,               0.001012
